"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[1,5]"
"Ntot[2,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[2,5]"
"Ntot[3,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[3,5]"
"Ntot[4,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[4,5]"
"Ntot[5,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[5,5]"
"Ntot[6,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[6,5]"
"Ntot[7,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[7,5]"
"Ntot[8,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[8,5]"
"Ntot[9,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[9,5]"
"Ntot[10,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[10,5]"
"Ntot[11,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[11,5]"
"Ntot[12,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[12,5]"
"Ntot[13,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[13,5]"
"Ntot[14,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[14,5]"
"Ntot[15,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[15,5]"
"Ntot[16,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[16,5]"
"Ntot[17,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[17,5]"
"Ntot[18,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[18,5]"
"Ntot[19,5]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[19,5]"
"Ntot[20,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[20,5]"
"Ntot[21,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[21,5]"
"Ntot[22,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[22,5]"
"Ntot[23,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[23,5]"
"Ntot[24,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[24,5]"
"Ntot[25,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[25,5]"
"Ntot[26,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[26,5]"
"Ntot[27,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[27,5]"
"Ntot[28,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[28,5]"
"Ntot[29,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[29,5]"
"Ntot[30,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[30,5]"
"Ntot[31,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[31,5]"
"Ntot[32,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[32,5]"
"Ntot[33,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[33,5]"
"Ntot[34,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[34,5]"
"Ntot[35,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[35,5]"
"Ntot[36,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[36,5]"
"Ntot[37,5]",115.248675,7.865998512121,100,110,115,121,131,0.999991582859632,40000,0,1,"Ntot[37,5]"
"Ntot[38,5]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[38,5]"
"Ntot[1,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[1,6]"
"Ntot[2,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[2,6]"
"Ntot[3,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[3,6]"
"Ntot[4,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[4,6]"
"Ntot[5,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[5,6]"
"Ntot[6,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[6,6]"
"Ntot[7,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[7,6]"
"Ntot[8,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[8,6]"
"Ntot[9,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[9,6]"
"Ntot[10,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[10,6]"
"Ntot[11,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[11,6]"
"Ntot[12,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[12,6]"
"Ntot[13,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[13,6]"
"Ntot[14,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[14,6]"
"Ntot[15,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[15,6]"
"Ntot[16,6]",106.109825,7.5279399716244,92,101,106,111,121,1.00006412091789,36267,0,1,"Ntot[16,6]"
